review_id,customer_id,book_id,rating,review_text,created_at
1412,2568,5,2,Overrated. I did not enjoy the characters at all.,2024-07-08 10:42:00
2964,2333,3,4,"Good book, though the ending felt a little rushed.",2024-12-01 09:13:00
3657,1499,7,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-03-05 11:40:00
4996,1916,1,4,"Good book, though the ending felt a little rushed.",2021-05-28 17:06:00
3919,992,31,4,"Good book, though the ending felt a little rushed.",2024-09-19 18:51:00
4676,1107,1,3,Neither great nor terrible. Passes the time.,2022-01-09 20:14:00
5289,165,6,4,Mostly great. The middle section drags a bit.,2024-10-30 17:43:00
2642,2470,12,4,"Good book, though the ending felt a little rushed.",2021-06-19 16:36:00
4608,1596,1,4,Well-written and engaging. A few plot holes but forgivable.,2023-02-26 15:14:00
5475,1062,23,5,I finished this in two sittings. Absolutely riveting.,2024-02-04 18:57:00
525,1940,1,5,The writing is exceptional and the story gripped me from page one.,2022-12-05 15:40:00
3097,2002,2,4,Above average. Would recommend to fans of the genre.,2023-02-28 09:42:00
2665,2095,5,5,Exceeded all my expectations. Truly extraordinary.,2023-07-07 23:04:00
2009,2621,2,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-07-22 10:54:00
613,2663,1,3,It was okay. The hype around this book is a bit overstated.,2024-12-31 07:24:00
2257,2485,2,4,Well-written and engaging. A few plot holes but forgivable.,2024-02-13 21:14:00
5433,2330,4,3,,2023-10-19 16:02:00
2533,1710,2,5,Perfect blend of story and insight. Will read again.,2023-01-30 18:52:00
2981,442,2,4,Liked it. The first half is stronger than the second.,2024-12-09 16:39:00
883,1988,3,3,Decent read. Not my favourite but not bad either.,2022-11-01 04:42:00
5232,1042,3,3,Had potential but did not quite deliver on its promise.,2024-09-04 23:17:00
3196,29,8,2,Struggled to get through it. The story meanders endlessly.,2024-04-29 22:35:00
174,771,1,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-09-25 08:13:00
4435,1409,1,5,The writing is exceptional and the story gripped me from page one.,2024-02-13 06:13:00
2067,2487,15,3,It was okay. The hype around this book is a bit overstated.,2020-10-12 20:48:00
245,1694,5,3,Decent read. Not my favourite but not bad either.,2021-10-14 17:58:00
3637,136,1,4,Above average. Would recommend to fans of the genre.,2022-10-22 07:10:00
506,2034,1,3,Neither great nor terrible. Passes the time.,2020-04-13 06:52:00
930,2094,2,4,A very good read overall. Some chapters were slow but worth it.,2023-06-23 09:09:00
1827,2129,1,4,A very good read overall. Some chapters were slow but worth it.,2024-03-18 21:08:00
807,1233,3,3,"Some interesting parts, but overall felt underwhelming.",2023-11-21 22:36:00
3890,1513,1,4,Well-written and engaging. A few plot holes but forgivable.,2020-10-27 18:17:00
89,2406,1,3,Had potential but did not quite deliver on its promise.,2022-09-08 11:35:00
972,96,22,3,"Some interesting parts, but overall felt underwhelming.",2023-05-25 14:03:00
1707,1973,2,4,Pleasant read. Nothing groundbreaking but definitely enjoyable.,2024-09-28 12:23:00
287,1969,2,4,Well-written and engaging. A few plot holes but forgivable.,2024-01-01 16:44:00
69,598,1,4,Liked it. The first half is stronger than the second.,2024-01-19 07:48:00
3519,282,44,5,,2020-06-23 21:39:00
1140,772,8,4,Enjoyed it quite a bit. Solid writing and interesting ideas.,2022-10-19 17:06:00
3680,1252,3,3,"Some interesting parts, but overall felt underwhelming.",2024-08-18 20:01:00
