order_item_id,order_id,product_id,quantity,unit_price
1,5001,8,1.0,49819
2,5001,87,4.0,41279
3,5002,10,2.0,26689
4,5003,150,5.0,30192
5,5003,1,3.0,50707
6,5003,112,4.0,69548
7,5004,44,4.0,82291
8,5004,6,4.0,21286
9,5004,98,5.0,83293
10,5004,143,3.0,20414
11,5004,114,1.0,38630
12,5005,10,2.0,26689
13,5005,47,1.0,53706
14,5005,62,1.0,98446
15,5006,83,2.0,61817
16,5007,21,1.0,81691
17,5007,88,5.0,4300
18,5007,49,5.0,92850
19,5007,29,2.0,7739
20,5007,27,2.0,65552
21,5008,113,4.0,14616
22,5008,136,3.0,53946
23,5008,10,2.0,26689
24,5009,2,5.0,48841
25,5009,1,5.0,50707
26,5009,60,5.0,84088
27,5010,97,5.0,3679
28,5010,2,2.0,48841
29,5010,19,5.0,72397
30,5010,122,1.0,58214
31,5011,45,3.0,48206
32,5011,141,5.0,19091
33,5011,66,5.0,82653
34,5012,74,1.0,16985
35,5012,11,5.0,10900
36,5012,80,2.0,89761
37,5012,61,5.0,26079
38,5012,102,2.0,22808
39,5013,67,1.0,33911
40,5014,80,4.0,89761
41,5014,140,5.0,83331
42,5014,129,4.0,14470
43,5014,17,2.0,13948
44,5015,20,4.0,44033
45,5015,14,5.0,55863
46,5015,125,4.0,33628
47,5016,1,1.0,50707
48,5016,84,2.0,87906
49,5016,88,2.0,4300
50,5017,140,4.0,83331
51,5017,148,2.0,55893
52,5017,30,1.0,51211
53,5017,78,4.0,42378
54,5017,19,5.0,72397
55,5018,35,4.0,58295
56,5018,124,5.0,78300
57,5018,52,5.0,58298
58,5018,109,4.0,19474
59,5019,46,4.0,23671
60,5020,102,1.0,22808
61,5020,5,4.0,26134
62,5021,104,5.0,9521
63,5022,35,5.0,58295
64,5022,83,1.0,61817
65,5023,120,5.0,3186
66,5023,80,3.0,89761
67,5023,132,4.0,42778
68,5023,53,5.0,50574
69,5023,105,3.0,56021
70,5024,66,5.0,82653
71,5024,44,2.0,82291
72,5024,109,5.0,19474
73,5025,96,5.0,8053
74,5025,72,5.0,20480
75,5025,61,3.0,26079
76,5025,65,5.0,25065
77,5025,14,4.0,55863
78,5026,26,4.0,18911
79,5026,105,3.0,56021
80,5026,17,3.0,13948
81,5027,60,5.0,84088
82,5028,17,4.0,13948
83,5028,69,5.0,48871
84,5028,11,1.0,10900
85,5029,119,1.0,26176
86,5030,126,1.0,20393
87,5030,142,4.0,40304
88,5030,49,3.0,92850
89,5031,49,3.0,92850
90,5031,39,1.0,54311
91,5031,51,2.0,59928
92,5032,21,5.0,81691
93,5033,102,5.0,22808
94,5033,116,3.0,42082
95,5033,37,5.0,95562
96,5033,122,5.0,58214
