customer_id,first_purchase_date,cohort_month
1001,2024-08-25,2024-08
1002,2024-08-08,2024-08
1003,2024-09-10,2024-09
1004,2025-02-24,2025-02
1005,2024-08-27,2024-08
1006,2024-07-31,2024-07
1007,2024-09-09,2024-09
1008,2024-11-02,2024-11
1009,2024-10-17,2024-10
1010,2024-12-18,2024-12
1011,2024-08-14,2024-08
1012,2024-09-05,2024-09
1013,2024-09-21,2024-09
1014,2024-10-31,2024-10
1015,2025-03-30,2025-03
1016,2024-08-10,2024-08
1017,2024-11-01,2024-11
1018,2024-09-16,2024-09
1019,2024-08-02,2024-08
1020,2024-09-20,2024-09
1021,2025-05-12,2025-05
1022,2024-08-23,2024-08
1023,2025-03-25,2025-03
1024,2024-08-30,2024-08
1025,2024-10-08,2024-10
1026,2024-08-06,2024-08
1027,2025-03-12,2025-03
1028,2024-09-24,2024-09
1029,2024-08-22,2024-08
1030,2024-11-30,2024-11
1031,2024-11-06,2024-11
1032,2025-01-18,2025-01
1033,2024-08-14,2024-08
1034,2024-12-14,2024-12
1035,2025-02-05,2025-02
1036,2024-11-21,2024-11
1037,2024-07-30,2024-07
1038,2024-08-01,2024-08
1039,2024-10-25,2024-10
1040,2024-08-30,2024-08
1041,2024-11-10,2024-11
1042,2025-01-13,2025-01
1043,2024-08-16,2024-08
1044,2024-09-02,2024-09
1045,2024-08-06,2024-08
1046,2024-10-12,2024-10
1047,2024-09-03,2024-09
1048,2024-09-10,2024-09
1049,2024-08-14,2024-08
1050,2024-08-25,2024-08
1051,2024-09-22,2024-09
1052,2024-08-11,2024-08
1053,2024-09-10,2024-09
1054,2025-01-10,2025-01
1055,2024-08-08,2024-08
1056,2024-08-13,2024-08
1057,2024-09-23,2024-09
1058,2024-09-05,2024-09
1059,2025-02-18,2025-02
1060,2024-10-03,2024-10
1061,2024-08-25,2024-08
1062,2024-11-14,2024-11
1063,2024-09-07,2024-09
1064,2024-08-27,2024-08
1065,2024-08-13,2024-08
1066,2024-10-24,2024-10
1067,2024-09-07,2024-09
1068,2024-10-22,2024-10
1069,2024-08-26,2024-08
1070,2024-09-15,2024-09
1071,2025-01-06,2025-01
1072,2024-08-02,2024-08
1073,2024-08-28,2024-08
1074,2024-08-06,2024-08
1075,2025-03-14,2025-03
1076,2025-01-30,2025-01
1077,2024-11-24,2024-11
1078,2025-01-20,2025-01
1079,2024-10-30,2024-10
1080,2024-09-08,2024-09
1081,2024-12-27,2024-12
