product_name,revenue,revenue_rank
Clean Code,126414480,1
Cricket Bat,106070873,2
SQL Basics,106027960,3
Jacket,97064197,4
Python Programming,88210426,5
Data Engineering,87389519,6
Machine Learning,87360632,7
Tablet,83875061,8
Cap,78291304,9
Dumbbells,76558158,10
Sneakers,75590924,11
Bluetooth Speaker,67833558,12
Keyboard,67502615,13
Running Shoes,66392198,14
Smart Watch,60142703,15
Pressure Cooker,59894375,16
Vacuum Cleaner,56522258,17
Yoga Mat,50950705,18
Tennis Ball,50823586,19
Smartphone,49956392,20
Helmet,47159937,21
Gas Stove,45930479,22
Dining Set,42442946,23
Knife Set,41914297,24
Microwave,39306435,25
Monitor,37315028,26
Kurta,36592084,27
Rich Dad Poor Dad,36004068,28
Laptop,31139189,29
Cricket Gloves,28169982,30
Air Fryer,27928218,31
Badminton Racket,27731512,32
Watch,27442993,33
Water Bottle,26029437,34
Sunglasses,24697677,35
Rice Cooker,21369952,36
Mixer Grinder,19136383,37
The Alchemist,18622293,38
Handbag,18615660,39
Mouse,14906525,40
Atomic Habits,12919174,41
Football,12053508,42
Jeans,11557858,43
Headphones,5035604,44
