order_date,daily_revenue,cumulative_revenue
2024-07-30,4178073,4178073
2024-07-31,2569042,6747115
2024-08-01,3821645,10568760
2024-08-02,4435320,15004080
2024-08-03,2005376,17009456
2024-08-04,4858110,21867566
2024-08-05,249988,22117554
2024-08-06,5834874,27952428
2024-08-07,3222076,31174504
2024-08-08,2579111,33753615
2024-08-09,805047,34558662
2024-08-10,313228,34871890
2024-08-11,3480283,38352173
2024-08-12,782242,39134415
2024-08-13,2742117,41876532
2024-08-14,3737693,45614225
2024-08-15,3781219,49395444
2024-08-16,2709204,52104648
2024-08-17,6096347,58200995
2024-08-18,668850,58869845
2024-08-19,5223743,64093588
2024-08-20,3584872,67678460
2024-08-21,2539861,70218321
2024-08-22,2402909,72621230
2024-08-23,4699040,77320270
2024-08-24,1058977,78379247
2024-08-25,2534279,80913526
2024-08-26,6979289,87892815
2024-08-27,2973281,90866096
2024-08-28,152130,91018226
2024-08-29,2062952,93081178
2024-08-30,3908550,96989728
2024-08-31,3339707,100329435
2024-09-01,1223694,101553129
2024-09-02,2177755,103730884
2024-09-03,4662936,108393820
2024-09-04,5341477,113735297
2024-09-05,3212793,116948090
2024-09-06,2464454,119412544
2024-09-07,4049517,123462061
2024-09-08,3415412,126877473
2024-09-09,5533942,132411415
2024-09-10,2190451,134601866
2024-09-11,1231719,135833585
2024-09-12,660065,136493650
2024-09-13,1247588,137741238
2024-09-14,5908777,143650015
2024-09-15,2391547,146041562
2024-09-16,2312945,148354507
2024-09-17,1787971,150142478
2024-09-18,4454187,154596665
2024-09-19,712418,155309083
2024-09-20,4997550,160306633
2024-09-21,3274817,163581450
2024-09-22,2986888,166568338
2024-09-23,2588437,169156775
2024-09-24,4397396,173554171
2024-09-25,565812,174119983
2024-09-26,5452903,179572886
2024-09-27,2033532,181606418
2024-09-28,3018796,184625214
2024-09-29,3683559,188308773
2024-09-30,1873689,190182462
2024-10-01,2538154,192720616
2024-10-02,1730659,194451275
2024-10-03,4704071,199155346
2024-10-04,2607216,201762562
2024-10-05,2192747,203955309
2024-10-06,2790851,206746160
2024-10-07,6273587,213019747
2024-10-08,3796481,216816228
2024-10-09,3372083,220188311
2024-10-10,3628854,223817165
2024-10-11,1491142,225308307
2024-10-12,1494220,226802527
2024-10-13,3884397,230686924
2024-10-14,4276133,234963057
2024-10-15,320512,235283569
2024-10-16,2137341,237420910
2024-10-17,4664744,242085654
2024-10-18,3633535,245719189
2024-10-19,2132339,247851528
2024-10-20,2172755,250024283
2024-10-21,4437623,254461906
2024-10-22,2486895,256948801
2024-10-23,761993,257710794
2024-10-24,6174536,263885330
2024-10-25,4827264,268712594
2024-10-26,4052214,272764808
2024-10-27,2481559,275246367
2024-10-28,3164620,278410987
2024-10-29,3219151,281630138
2024-10-30,1919607,283549745
2024-10-31,2966223,286515968
2024-11-01,5515911,292031879
2024-11-02,2369370,294401249
2024-11-03,3891652,298292901
2024-11-04,3049061,301341962
2024-11-05,2858796,304200758
2024-11-06,5575841,309776599
2024-11-07,3921973,313698572
2024-11-08,1998545,315697117
2024-11-09,3485087,319182204
