order_id,order_total,previous_order
5001,214935,
5002,53378,214935.0
5003,581273,53378.0
5004,930645,581273.0
5005,205530,930645.0
5006,123634,205530.0
5008,273680,123634.0
5009,918180,273680.0
5010,536276,918180.0
5011,653338,536276.0
5012,427018,653338.0
5013,33911,427018.0
5014,861475,33911.0
5015,589959,861475.0
5016,235119,589959.0
5017,1027818,235119.0
5018,994066,1027818.0
5019,94684,994066.0
5020,127344,94684.0
5021,47605,127344.0
5022,353292,47605.0
5023,877258,353292.0
5024,675217,877258.0
5025,569679,675217.0
5026,285551,569679.0
5027,420440,285551.0
5028,311047,420440.0
5029,26176,311047.0
5030,460159,26176.0
5031,452717,460159.0
5032,408455,452717.0
5033,1194696,408455.0
5034,330828,1194696.0
5035,525242,330828.0
5036,356993,525242.0
5037,1092230,356993.0
5038,386659,1092230.0
5039,261412,386659.0
5040,472866,261412.0
5042,193639,472866.0
5043,797522,193639.0
5044,1445572,797522.0
5045,612967,1445572.0
5046,544457,612967.0
5047,9175,544457.0
5048,38916,9175.0
5049,666852,38916.0
5050,500322,666852.0
5051,618509,500322.0
5052,31445,618509.0
5053,516933,31445.0
5054,506214,516933.0
5056,783840,506214.0
5057,348770,783840.0
5058,220865,348770.0
5059,352147,220865.0
5060,64860,352147.0
5061,759021,64860.0
5062,486941,759021.0
5063,190490,486941.0
5064,838787,190490.0
5065,125325,838787.0
5066,869599,125325.0
5067,75195,869599.0
5068,711543,75195.0
5069,150960,711543.0
5070,1065275,150960.0
5071,396209,1065275.0
5072,665856,396209.0
5073,443610,665856.0
5074,335186,443610.0
5075,99090,335186.0
5076,252672,99090.0
5077,74480,252672.0
5078,1017975,74480.0
5079,336037,1017975.0
5080,378089,336037.0
5081,486163,378089.0
5082,505790,486163.0
5083,345794,505790.0
5084,81920,345794.0
5085,782829,81920.0
5086,281085,782829.0
5087,117522,281085.0
5088,962506,117522.0
5089,305038,962506.0
5090,56733,305038.0
5091,887268,56733.0
5092,374117,887268.0
5093,129886,374117.0
5094,648166,129886.0
5095,610131,648166.0
5096,439160,610131.0
5097,156886,439160.0
5098,613873,156886.0
5099,898347,613873.0
5100,635958,898347.0
5101,584878,635958.0
5102,580037,584878.0
5103,561693,580037.0
5104,291035,561693.0
5105,898130,291035.0
5106,460086,898130.0
5107,340665,460086.0
5108,48871,340665.0
5109,125340,48871.0
5110,392809,125340.0
5111,571129,392809.0
5112,1242159,571129.0
5113,223260,1242159.0
5114,579065,223260.0
5115,350476,579065.0
5116,545412,350476.0
5117,521840,545412.0
5118,154811,521840.0
5119,184068,154811.0
5120,785669,184068.0
5121,146613,785669.0
5122,496956,146613.0
5123,468034,496956.0
5124,861926,468034.0
5125,544592,861926.0
5126,210904,544592.0
5127,39383,210904.0
5128,901019,39383.0
5129,329437,901019.0
5130,516551,329437.0
5131,478195,516551.0
5132,745181,478195.0
5133,821863,745181.0
5134,211255,821863.0
5135,440614,211255.0
5136,120484,440614.0
5137,646126,120484.0
5138,251924,646126.0
5139,800062,251924.0
5140,569264,800062.0
5141,42082,569264.0
5142,152091,42082.0
5143,711942,152091.0
5144,163891,711942.0
5145,732037,163891.0
5146,337772,732037.0
5147,607399,337772.0
5148,393253,607399.0
5149,165233,393253.0
5150,857319,165233.0
5151,69811,857319.0
5152,369997,69811.0
5153,188589,369997.0
5154,627995,188589.0
5155,865146,627995.0
5156,334853,865146.0
5157,439631,334853.0
5158,551008,439631.0
5159,721198,551008.0
5160,649593,721198.0
5161,72397,649593.0
5162,437586,72397.0
5163,223116,437586.0
5164,451581,223116.0
5165,152892,451581.0
5166,185439,152892.0
5167,1268204,185439.0
5168,465579,1268204.0
5169,760512,465579.0
5170,100507,760512.0
5171,583391,100507.0
5172,503265,583391.0
5173,476846,503265.0
5174,489781,476846.0
5175,637323,489781.0
5176,410300,637323.0
5177,141312,410300.0
5178,120484,141312.0
5179,1255154,120484.0
5180,497966,1255154.0
5181,208911,497966.0
5182,690983,208911.0
5183,174217,690983.0
5184,858080,174217.0
5185,1038440,858080.0
5186,263856,1038440.0
5187,228531,263856.0
5188,534461,228531.0
5189,590584,534461.0
5190,962385,590584.0
5191,177916,962385.0
5192,364481,177916.0
5193,1002806,364481.0
5194,543279,1002806.0
5195,98118,543279.0
5196,576959,98118.0
5197,289617,576959.0
5198,606337,289617.0
5199,210721,606337.0
5200,675207,210721.0
5201,357621,675207.0
5202,237329,357621.0
5203,331948,237329.0
5204,132099,331948.0
5205,618038,132099.0
5207,160236,618038.0
5208,488650,160236.0
5210,218492,488650.0
5211,321822,218492.0
5212,21500,321822.0
5213,195870,21500.0
5214,68424,195870.0
5215,199530,68424.0
5216,777826,199530.0
5218,481295,777826.0
5219,198424,481295.0
5220,633560,198424.0
5221,259155,633560.0
5222,641323,259155.0
5223,38916,641323.0
5224,834354,38916.0
5225,132879,834354.0
5226,23217,132879.0
5227,520155,23217.0
5228,714650,520155.0
5229,710474,714650.0
5230,875056,710474.0
5231,558190,875056.0
5232,109918,558190.0
5233,438793,109918.0
5234,693059,438793.0
5235,430364,693059.0
5236,593474,430364.0
5237,1085620,593474.0
5238,279871,1085620.0
5240,95562,279871.0
5241,147178,95562.0
5242,184396,147178.0
5243,289704,184396.0
5244,495600,289704.0
5245,515143,495600.0
5246,188718,515143.0
5247,587142,188718.0
5248,141312,587142.0
5249,200006,141312.0
5250,87027,200006.0
5251,461835,87027.0
5252,387018,461835.0
5253,165960,387018.0
5254,837637,165960.0
5255,153863,837637.0
5256,1432250,153863.0
5257,174590,1432250.0
5258,563323,174590.0
5259,767531,563323.0
5260,498644,767531.0
5261,347900,498644.0
5262,616562,347900.0
5263,714485,616562.0
5264,862554,714485.0
5265,570101,862554.0
5266,512771,570101.0
5267,481422,512771.0
5268,306056,481422.0
5270,550114,306056.0
5271,507828,550114.0
5272,243526,507828.0
5273,452435,243526.0
5274,538511,452435.0
5275,383548,538511.0
5276,440698,383548.0
5277,407741,440698.0
5278,359332,407741.0
5279,319106,359332.0
5280,39748,319106.0
5281,232502,39748.0
5282,369820,232502.0
5283,359651,369820.0
5284,594529,359651.0
5285,368409,594529.0
5286,305144,368409.0
5287,171681,305144.0
5288,154520,171681.0
5289,247554,154520.0
5290,146613,247554.0
5291,392846,146613.0
5292,305557,392846.0
5293,609940,305557.0
5294,154041,609940.0
5295,414119,154041.0
5296,69110,414119.0
5297,723010,69110.0
5298,221221,723010.0
5299,154995,221221.0
5300,376143,154995.0
5301,407518,376143.0
5302,585342,407518.0
5303,388514,585342.0
5304,50707,388514.0
5305,1039280,50707.0
5306,203592,1039280.0
5307,488755,203592.0
5308,461567,488755.0
5309,385530,461567.0
5310,262208,385530.0
5311,318127,262208.0
5312,792846,318127.0
5313,294042,792846.0
5314,378189,294042.0
5315,14716,378189.0
5316,170349,14716.0
5317,545819,170349.0
5318,746979,545819.0
5319,463426,746979.0
5320,651793,463426.0
5321,104704,651793.0
5322,276859,104704.0
5323,99638,276859.0
5324,651634,99638.0
5325,383872,651634.0
5326,102458,383872.0
5327,952772,102458.0
5328,292705,952772.0
5329,818251,292705.0
5330,237057,818251.0
5331,1190121,237057.0
5332,1031567,1190121.0
5333,562123,1031567.0
5334,1041447,562123.0
5335,393804,1041447.0
5336,21800,393804.0
5337,398768,21800.0
5338,422478,398768.0
5339,573468,422478.0
5340,295661,573468.0
5341,648109,295661.0
5342,525742,648109.0
5343,820040,525742.0
5344,176862,820040.0
5346,134152,176862.0
5347,120912,134152.0
5348,692041,120912.0
5349,140836,692041.0
5350,634220,140836.0
5351,860633,634220.0
5352,302407,860633.0
5353,150840,302407.0
5354,957812,150840.0
